model_family,fourier_mode,regime,seed,gpu,val_auc,test_auc,test_acc,test_f1,test_d_auc,test_d_acc,test_d_f1,delta_auc,elapsed_min
mobilenet,none,finetune,987,cuda:0,0.9513,0.8373,0.737,0.7345,0.7493,0.6646,0.6635,-0.088,271.5
xception,none,finetune,987,cuda:0,0.8511,0.7605,0.6965,0.7419,0.6838,0.6514,0.7095,-0.0767,245.7
