Paradigma,CLIP_none,CLIP_concat,DINO_none,DINO_concat,VIT_none,VIT_concat,RESNET_none,RESNET_concat,MOBILENET_none,MOBILENET_concat,XCEPTION_none,XCEPTION_concat
commercial_avatar,72.76,60.34,58.78,74.96,60.46,58.53,43.48,83.19,46.68,58.54,68.99,70.01
diffusion,73.59,76.77,64.21,72.24,67.83,59.22,64.34,74.3,61.37,58.17,68.47,69.78
editing_t2i,85.95,84.95,81.6,83.61,79.5,66.32,86.85,79.53,84.47,81.28,82.28,77.12
face_swap,73.82,74.94,78.16,83.1,75.24,68.72,73.79,84.4,75.89,72.09,77.54,77.94
gan,74.14,75.78,68.51,66.67,60.74,60.25,65.68,73.71,67.38,64.91,70.08,70.19
talking_reenactment,66.38,72.61,74.42,77.66,75.39,68.15,72.06,81.15,73.62,63.79,80.78,78.51
