auc,acc,f1,precision,recall,specificity,loss,threshold,model_family,fourier_mode,regime,seed,run_name
0.7974175443515579,0.7359590884622286,0.7698443731915227,0.7412650602409638,0.8007157963234098,0.6563312662532507,1.4187515994364566,0.5,clip,none,finetune,7,
0.7523702072446375,0.7228602189126144,0.7566758566364711,0.7335064141722664,0.7813567593948267,0.6509301860372074,1.610372008247809,0.5,clip,none,finetune,42,
0.7803725703657081,0.7144267001614929,0.7433685398693864,0.7368925831202046,0.7499593297543518,0.6707341468293658,1.9970002282749524,0.5,clip,none,finetune,123,
0.826250169506815,0.7759734433877624,0.8022491486497189,0.7816358024691358,0.823979176834228,0.7169433886777355,0.9947264302860608,0.5,clip,none,finetune,987,
0.721251928928164,0.6976493809438363,0.7371294851794071,0.7080773265397872,0.7686676427525623,0.6103220644128826,2.0624739866365087,0.5,clip,none,finetune,2024,
0.7059019905494032,0.6837430468329445,0.7420039522798799,0.6744278871740287,0.8246299007646006,0.510502100420084,1.8618043552745471,0.5,clip,none,finetune,2025,
0.479697550051738,0.5040373228063879,0.6197551245013069,0.5368847574782505,0.7328778265820726,0.2226445289057811,1.533431435173208,0.5,clip,magnitude,finetune,7,
0.4887735152366409,0.5024223936838328,0.6269339432261536,0.5344649615781626,0.7580933788840084,0.1880376075215043,1.5350063849579203,0.5,clip,magnitude,finetune,42,
0.4633927761638223,0.5395657635026019,0.6636959370904325,0.5556896740919566,0.823816495851635,0.1900380076015203,1.6993015652353114,0.5,clip,magnitude,finetune,123,
0.5213146745177895,0.5324780190202764,0.646496167152839,0.5544565976262509,0.7751748820562876,0.2340468093618724,1.543931564146822,0.5,clip,magnitude,finetune,2024,
0.4605561587345939,0.5018840839763143,0.624204683904156,0.5344847571577606,0.7501220107369448,0.1966393278655731,1.844610334797339,0.5,clip,magnitude,finetune,2025,
0.4683760894036624,0.4889646509958729,0.5485098287888396,0.534858556191065,0.5628761997722467,0.3980796159231846,1.4103775796565143,0.5,clip,phase,finetune,7,
0.5310214149548634,0.501345774268796,0.5021497671085633,0.5587004185768387,0.455994794208557,0.5571114222844569,1.2778777839107949,0.5,clip,phase,finetune,42,
0.5345418847882152,0.5426161851785394,0.6040695868282075,0.5779462030019319,0.6326663413047015,0.4318863772754551,1.4993294057520954,0.5,clip,phase,finetune,123,
0.5028678909687908,0.5206352054548717,0.564937708655647,0.5655363547440495,0.5643403286155848,0.4668933786757351,1.18289835547859,0.5,clip,phase,finetune,2024,
0.5529848445693694,0.5392068903642563,0.5661429295489103,0.5888244596731682,0.5451439726695949,0.5319063812762552,1.1347743286327885,0.5,clip,phase,finetune,2025,
