composition,label,n_models,strategy,members,val_auc,val_acc,test_auc,test_acc,test_f1,test_recall,test_precision,test_d_auc,test_d_acc,test_d_f1,test_d_recall,test_d_precision,test_d_fp,test_d_fn,delta_auc,delta_acc,score,grade
clip42_clip987_dino_clipconcat,CLIP-42 + CLIP-987 + DINO + CLIP-concat (4M),4,weighted,clip/none/42 + clip/none/987 + dino/none/42 + clip/concat/42,0.9955,0.9662,0.9468,0.869,0.8764,0.8095,0.9552,0.7991,0.7216,0.7454,0.7105,0.7838,20445,30204,-0.1477,-0.1474,8.61,A+
robust987_dino_resnetcf,CLIP-987 + DINO + ResNet-CF (5 modelos),5,mean,"clip/none/987 + dino/none/{42,123} + resnet/concat_frequency/{42,123}",0.9963,0.9764,0.9442,0.8701,0.8768,0.8062,0.961,0.7963,0.721,0.7341,0.6715,0.8094,16496,34274,-0.1479,-0.1491,8.59,A+
robust987_dino_resnetcf,CLIP-987 + DINO + ResNet-CF (5 modelos),5,weighted,"clip/none/987 + dino/none/{42,123} + resnet/concat_frequency/{42,123}",0.9963,0.9764,0.9442,0.8701,0.8768,0.8062,0.961,0.7963,0.721,0.7341,0.6715,0.8094,16496,34274,-0.1479,-0.1491,8.59,A+
clip987_dino42,CLIP-987 + DINO-42 (2M),2,max,clip/none/987 + dino/none/42,0.9965,0.9821,0.9441,0.8779,0.8855,0.8234,0.9577,0.795,0.7164,0.7276,0.6607,0.8097,16199,35409,-0.1492,-0.1615,8.58,A+
clip_none_top3plus987,CLIP 3 Seeds Padrão + seed 987,4,mean,"clip/none/{42,123,2024} + clip/none/seed_987",0.9886,0.9472,0.9318,0.8396,0.8445,0.7599,0.9505,0.7957,0.7081,0.7259,0.6737,0.7867,19058,34044,-0.1361,-0.1314,8.57,A+
clip_none_top3plus987,CLIP 3 Seeds Padrão + seed 987,4,weighted,"clip/none/{42,123,2024} + clip/none/seed_987",0.9886,0.9472,0.9318,0.8396,0.8445,0.7599,0.9505,0.7957,0.7081,0.7259,0.6737,0.7867,19058,34044,-0.1361,-0.1314,8.57,A+
clip_none_5seeds,"CLIP Padrão (5 seeds, sem robust)",5,mean,"clip/none/{42,123,2024,7,2025}",0.9861,0.943,0.9342,0.8507,0.8583,0.7885,0.9416,0.7654,0.6899,0.7294,0.729,0.7299,28149,28279,-0.1687,-0.1608,8.38,A+
clip_none_5seeds,"CLIP Padrão (5 seeds, sem robust)",5,weighted,"clip/none/{42,123,2024,7,2025}",0.9861,0.943,0.9342,0.8507,0.8583,0.7885,0.9416,0.7654,0.6899,0.7294,0.729,0.7299,28149,28279,-0.1687,-0.1608,8.38,A+
clip_none_5seeds,"CLIP Padrão (5 seeds, sem robust)",5,geometric,"clip/none/{42,123,2024,7,2025}",0.9865,0.9418,0.9345,0.8513,0.8592,0.7915,0.9397,0.7654,0.692,0.7315,0.7317,0.7314,28039,27999,-0.1692,-0.1593,8.38,A+
clip987_clip42_dino42,CLIP-987 + CLIP-42 + DINO-42 (3M),3,max,clip/none/987 + clip/none/42 + dino/none/42,0.9918,0.9663,0.9406,0.8729,0.8823,0.8304,0.941,0.7647,0.7099,0.7439,0.7344,0.7536,25062,27713,-0.1758,-0.163,8.38,A+
clip_none_5seeds,"CLIP Padrão (5 seeds, sem robust)",5,stacking,"clip/none/{42,123,2024,7,2025}",0.9862,0.9426,0.9343,0.8519,0.8597,0.7915,0.9408,0.7651,0.6888,0.7292,0.7304,0.7279,28492,28129,-0.1691,-0.1631,8.37,A+
clip_none_42plus987,CLIP Robusto (seed 42 + seed 987),2,max,clip/none/seed_42 + clip/none/seed_987,0.9826,0.9334,0.9211,0.8419,0.8515,0.7905,0.9227,0.7663,0.7051,0.7409,0.7351,0.7467,26020,27636,-0.1548,-0.1368,8.36,A+
clip42_clip987_dino_clipconcat,CLIP-42 + CLIP-987 + DINO + CLIP-concat (4M),4,max,clip/none/42 + clip/none/987 + dino/none/42 + clip/concat/42,0.9888,0.9562,0.9387,0.8735,0.8847,0.8456,0.9275,0.7625,0.7088,0.749,0.7576,0.7406,27689,25292,-0.1762,-0.1647,8.36,A+
clip_none_top3plus987,CLIP 3 Seeds Padrão + seed 987,4,max,"clip/none/{42,123,2024} + clip/none/seed_987",0.9847,0.9373,0.9294,0.8528,0.8633,0.8106,0.9232,0.7549,0.6849,0.7323,0.7515,0.714,31409,25925,-0.1745,-0.1679,8.3,A+
clip_none_5seeds,"CLIP Padrão (5 seeds, sem robust)",5,max,"clip/none/{42,123,2024,7,2025}",0.9837,0.9335,0.9303,0.8559,0.8685,0.8294,0.9114,0.7473,0.6781,0.7338,0.7738,0.6978,34963,23606,-0.183,-0.1778,8.25,A+
robust987_dino_resnetcf,CLIP-987 + DINO + ResNet-CF (5 modelos),5,max,"clip/none/987 + dino/none/{42,123} + resnet/concat_frequency/{42,123}",0.9573,0.9043,0.8915,0.8268,0.8524,0.872,0.8336,0.7129,0.691,0.7485,0.8019,0.7018,35548,20673,-0.1786,-0.1358,7.97,A
