model_family,fourier_mode,regime,seed,test_auc,test_acc,test_f1,test_precision,test_recall,test_specificity,test_d_auc,test_d_acc,test_d_f1,test_d_precision,test_d_recall,test_d_specificity,delta_auc,delta_acc
xception,phase,finetune,2024,0.5827423401035625,0.5785256146020544,0.7125970677300393,0.5851156149410077,0.9111025923618764,0.131336821215948,0.5057720505913377,0.5684787328177986,0.7165805128797504,0.5747948505608673,0.951219512195122,0.0538388185871498,-0.07697028951222484,-0.010046881784255834
xception,phase,finetune,7,0.5877517472258056,0.5798171995141442,0.7175083416164445,0.5838735672275477,0.9304710335904932,0.1083219504651942,0.5120720995766842,0.570501299829071,0.7168233307484364,0.5763298507723594,0.947894005462648,0.0630524986469421,-0.07567964764912138,-0.009315899685073181
xception,phase,finetune,2025,0.583344366880693,0.5804107789631047,0.7061255442083909,0.5900756581486915,0.8789975561838134,0.1789258008814205,0.5085909241103002,0.5663022748382771,0.7089351845021172,0.5762609211875536,0.9209736930375196,0.0894049122445297,-0.07475344277039286,-0.014108504124827559
xception,complex,finetune,42,0.5678438510589527,0.5735021737099265,0.7289310241237416,0.5735039493428755,0.9999233312568884,0.0001288626581789,0.5192159798899117,0.5735076698159354,0.7289392515692733,0.5735046775204194,0.9999520820355552,0.0001030901265431,-0.04862787116904099,5.496106008862078e-06
xception,complex,finetune,123,0.5625347330681076,0.5734637009678643,0.7289169883158391,0.5734802682202924,0.999942498442666,1.2886265817891292e-05,0.5131379493656978,0.5734746931798821,0.7289277618071249,0.5734841489689135,0.9999712492213332,0.0,-0.04939678370240985,1.0992212017835179e-05
xception,complex,finetune,2024,0.5646791271215383,0.5734911814979088,0.7289410811339472,0.5734911814979088,1.0,0.0,0.5232317854009653,0.5734911814979088,0.7289410811339472,0.5734911814979088,1.0,0.0,-0.04144734172057307,0.0
xception,complex,finetune,7,0.5599423673632418,0.5734966776039176,0.7289265840648612,0.5735016050305616,0.9999137476639992,0.0001288626581789,0.5136137337146736,0.573480189285891,0.7289170514961191,0.5734929560432916,0.9999041640711104,0.0001030901265431,-0.04632863364856821,-1.6488318026697257e-05
xception,complex,finetune,2025,0.5561749204976554,0.5733537788476865,0.7287580671649353,0.5734632601212014,0.9993962336479948,0.0004896781010798,0.5180406564903643,0.5729195864729839,0.7280877330496612,0.5734135842276127,0.997029086204418,0.0026545707584856,-0.03813426400729103,-0.0004341923747025467
xception,concat,finetune,42,0.7345784126027055,0.6729487158348311,0.7273093878598466,0.6968816137275737,0.7605155972974268,0.5552047627638463,0.6107458336629101,0.5910567363023298,0.6449485598671527,0.6422699322365732,0.6476496238439791,0.5149609546145718,-0.12383257893979538,-0.08189197953250127
xception,concat,finetune,123,0.7360854587040541,0.6755978389311174,0.7301389904901243,0.6981245901639345,0.7652307249988021,0.5550759001056674,0.6134350575408107,0.5919471054757705,0.6446295232624928,0.6439206311259862,0.6453399779577363,0.520154119739182,-0.12265040116324333,-0.0836507334553469
