model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
clip,complex,finetune,test,0.5270894932815613,0.037820953555615565,0.5734922807191106,2.457933329420414e-06,0.7289374243056217,5.573436426095909e-06,0.5734935893146681,4.163648116140697e-06,0.9999789160956443,3.347405088220698e-05,3.0927037962934775e-05,5.040490506843743e-05,0.639032872229804,0.05003417190398398
clip,complex,finetune,test_d,0.5197224187936753,0.025212767357122037,0.5734911814979087,3.886333829045385e-06,0.7289391875022173,4.607758743711371e-06,0.5734919893422261,1.7623677542303699e-06,0.9999904164071112,1.659926980278373e-05,1.2886265817891292e-05,1.822393188800669e-05,0.8861471923480266,0.18117962920610278
clip,complex,finetune,val,0.4995510808104145,0.0027703311348903437,0.5990852520646295,1.1753634274390052e-05,0.7492764321280287,7.767049506860165e-06,0.5990865670291302,1.527063870005628e-05,0.9999660179878118,6.982639726069082e-05,6.770366107546727e-05,0.0001332747901019127,0.647836585290307,0.04277621761427717
clip,concat,finetune,test,0.8940625381168784,0.0042336923726468845,0.8151065969760424,0.007075726237318462,0.8245859378139967,0.00881659103342918,0.9041141926815157,0.010037917818348827,0.7582232018783841,0.018531947232369086,0.8915930001804078,0.014553896599512946,0.932447815332204,0.21520719585432374
clip,concat,finetune,test_d,0.7259508345407927,0.011851018261746404,0.6778171665375081,0.007127056685730769,0.7202015381539826,0.008019737455592379,0.7178949046997851,0.016253790896073435,0.7234980114044756,0.027076677987744623,0.6163939073735213,0.04281404328767155,2.2538649217337317,0.5509834560790648
clip,concat,finetune,val,0.962736335118683,0.0038009184418778524,0.9017487429001851,0.004372079691176587,0.9178718723374528,0.0035085844054808047,0.9193737240234489,0.006293754442228713,0.9164019845495117,0.004053876655017287,0.8798530830554663,0.010250424282216095,0.772666318221378,0.3339544066346175
clip,concat_frequency,finetune,test,0.7788554389678819,0.00719181237343607,0.705668134126971,0.006910414533743234,0.7269753809753896,0.007201680042591483,0.7766246884635738,0.006990498708321364,0.6833561742297187,0.010350276770612545,0.7356691837839231,0.010489517734691011,0.9848853169259527,0.09593848785460582
clip,concat_frequency,finetune,test_d,0.6504538800188238,0.00604522738936313,0.6265373982533375,0.0036483725470023835,0.6852330930487704,0.00327494330721821,0.6631742762944566,0.0037113835568626037,0.7088446978772341,0.006161622716250102,0.5158655704749877,0.00950518866760853,1.8215791371904217,0.17412163573885978
clip,concat_frequency,finetune,val,0.8571541996293108,0.009241106711489417,0.7740029722521935,0.009553278694186288,0.8106271478590452,0.00791315817783139,0.8139235857837054,0.009382070105669953,0.8074012822545932,0.009037504623866866,0.7240974255682876,0.01588062488362865,0.7847691663390954,0.13556935767042633
clip,frequency_3,finetune,test,0.7316148007980097,0.0059885750547751014,0.6713350591106202,0.003452625622972438,0.7286062034563728,0.008293336162279653,0.6921031934943935,0.00837350316022219,0.7699036848914658,0.027835091109425156,0.5387979691245072,0.03433478048329105,0.7882062240023449,0.1333051031915875
clip,frequency_3,finetune,test_d,0.5328122787691238,0.006956670026206207,0.5309194435742277,0.006462191870850543,0.5820026134281535,0.025380781220578526,0.5950725036419178,0.005905271068030054,0.571676649575926,0.05119475110545901,0.4761165949331202,0.05656549245914949,1.3583012926213724,0.13725747511888173
clip,frequency_3,finetune,val,0.7852614435651649,0.010171528624390271,0.7083460570156689,0.008891908519049621,0.754920186948392,0.010649828444523663,0.7599276027434079,0.0058496626054933805,0.7502775197662037,0.021583019025790875,0.6456898156767827,0.017152997614968076,0.6377893376253823,0.09333715920387843
clip,magnitude,finetune,test,0.7335695513903275,0.0013870301933047158,0.6731553694207654,0.0027139680203898792,0.7299105665228685,0.002536961162254019,0.6937760669373523,0.005550894285532167,0.7701586084623125,0.010489194039208923,0.5427231256926367,0.017630153271079464,0.8417784128423198,0.11655720195142541
clip,magnitude,finetune,test_d,0.5300049673593895,0.004088168082411058,0.5440287556266385,0.004649817098521786,0.6247265763168061,0.011685287886741846,0.5915065769741655,0.00107702841965191,0.6623355215870429,0.02572951127407935,0.38495141877786654,0.02421911010950542,1.5748255267157505,0.05621772297799474
clip,magnitude,finetune,val,0.7745174704486245,0.006836286864344816,0.6993940134226366,0.009188809562111424,0.7500750535855767,0.006906222297505058,0.7474061368052566,0.011865102555664083,0.7529824879363857,0.012554669617952367,0.6193192396878862,0.027245992326275975,0.7177485222383345,0.07770745435286733
clip,none,finetune,test,0.9194658742789084,0.004052737003075751,0.8364358851753533,0.00723258628813525,0.8447640378584259,0.009319477899840249,0.9264751619816642,0.012525329839861338,0.7767981216157938,0.023262774623351967,0.9166258601582434,0.01778338298896891,0.6076276329232095,0.056072139395823936
clip,none,finetune,test_d,0.7488677660528765,0.010343675509578511,0.6814445965033774,0.004122366027038273,0.7203580260395283,0.013572043525079581,0.7255998515188044,0.014770446571312497,0.7169466673055729,0.04226549416813949,0.63370789412644,0.05046880220173478,1.7117570684768548,0.2162558546644294
clip,none,finetune,val,0.9797440028727298,0.0016156377653478958,0.9283619361712235,0.0028638351593463242,0.9399983831267258,0.002228228774293874,0.9434821144780734,0.008073080662468849,0.9366258127364583,0.0067772435605995395,0.9160136084358761,0.013176240715607787,0.39029722836143105,0.09146848404045171
clip,phase,finetune,test,0.6265205727779609,0.010005292288261908,0.5879074675592343,0.010785971864188679,0.6118806022902424,0.030457355204077823,0.6655018264570444,0.016860081183220743,0.5697886817767981,0.06187150408885076,0.612270302311796,0.06809376880907209,0.8594690232029276,0.1147542748037663
clip,phase,finetune,test_d,0.49935427800665744,0.002187232137631327,0.5358241685765635,0.00765249289393231,0.6396843953685452,0.01734803358766027,0.5762757554999862,0.0020646095459710663,0.7198715798552877,0.043012064405833696,0.2883508157006262,0.0412215153678712,1.5326434731609253,0.2189420994332411
clip,phase,finetune,val,0.7100332457247125,0.014708111557689233,0.6501143434919213,0.011998936515647133,0.7019583726119378,0.022349668316244527,0.7169438971602347,0.019420798124141964,0.6906209646360526,0.057409657335060836,0.5895871769265923,0.07079720742673047,0.750999664162505,0.11722417282440604
dino,complex,finetune,test,0.49945291552051263,0.0012885693789975918,0.5734911814979088,0.0,0.7289410811339472,0.0,0.5734911814979088,0.0,1.0,0.0,0.0,0.0,0.5972660796578568,0.0026825719667919086
