model_family,fourier_mode,regime,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
clip,complex,finetune,0.47225458106099827,0.0548027328030738,0.5514982953525929,6.344040742744735e-05,0.7109101186735531,5.580882206960966e-05,0.5515019908423814,2.8904050159665117e-05,0.9999349276069627,0.0001455062942899371,8.001600320064e-05,0.00010956642478599024,0.8864509276368402,0.1804301073178399
clip,concat,finetune,0.764963830573175,0.03227314714005093,0.7116813206531492,0.026602916213509777,0.7430242663965473,0.02755843623608699,0.7299300710873599,0.019177058918774793,0.7572149015780055,0.04181005696327829,0.6556911382276456,0.026792071538541483,1.954331304945729,0.3739225396102911
clip,concat_frequency,finetune,0.5938908328273756,0.020659559969111216,0.59327112865602,0.01311615656516716,0.6460292306010536,0.008993378157837207,0.6214241800873833,0.013918270475514822,0.6729461525947616,0.013486636114890812,0.49529905981196237,0.03249865262934132,1.8434068823402576,0.22399104530075095
clip,frequency_3,finetune,0.4725007894046679,0.027125938510812683,0.4974520007177462,0.012605275306601991,0.6205373449183147,0.009825561600972177,0.5317770966040589,0.008598859690276019,0.7453066536521881,0.02312520324371475,0.19267853570714139,0.038156392726330195,1.405711850930344,0.21032495839317503
clip,magnitude,finetune,0.4827469349409169,0.024495422862959134,0.5160775165978826,0.018395355393968003,0.6362171711749776,0.018454115305378684,0.5431961495864762,0.010895429283108594,0.7680169188221897,0.03470694965734237,0.20628125625125024,0.02078655370769249,1.6312562568621203,0.1383920717572486
clip,none,finetune,0.763927401824381,0.04603883941530679,0.7217686464501466,0.03231813594904377,0.758545225967731,0.02451031463335999,0.7293008456193978,0.035829850001859266,0.7915514343039965,0.03028937580524529,0.635960525438421,0.07043242689941309,1.6575214346927225,0.40484447699532383
clip,phase,finetune,0.5179584249369802,0.03300998005714578,0.5185537412524672,0.023353343759936487,0.5571619641860336,0.036887146396367886,0.5651731984374107,0.020515470380896277,0.552204327314137,0.06332738339942108,0.4771754350870173,0.0667049596557483,1.3010514906861566,0.15281655996493013
dino,complex,finetune,0.5,0.0,0.5308989772115558,0.04606147565350368,0.5687387960446423,0.3179346523493022,0.4411986362820743,0.24663753557673082,0.8,0.4472135954999579,0.2,0.447213595499958,1.0238532778891651,0.01242795585565291
dino,concat,finetune,0.7558065737110331,0.020673760993047602,0.6981159160236856,0.01777864644686494,0.7372275582320678,0.015566563042709486,0.7091364230228054,0.01730891795925945,0.7680169188221896,0.02280494949166388,0.6121624324864973,0.03249015546063661,1.4138604813001372,0.1311744765137475
dino,concat_frequency,finetune,0.7052870473232438,0.03907266312575094,0.6656737843172438,0.010854355229073718,0.7435202963203057,0.005251958500181704,0.6446344753521391,0.01064914483709753,0.8784773060029283,0.00812591100943041,0.40400080016003204,0.03157167509646157,1.4202373060313138,0.13678660079623203
dino,frequency_3,finetune,0.5003437648648975,0.027128404887878297,0.5506190561636461,0.022602188809898397,0.6728002581524783,0.01626087823843255,0.5622157692462093,0.013835310489348364,0.8379372051407191,0.028304247006639634,0.19731946389277852,0.0416325021679468,1.4218466460704804,0.22675666368290245
dino,magnitude,finetune,0.4844716560035612,0.02643220965868399,0.5397452000717746,0.01588115010536345,0.6573643185835407,0.014854087932024064,0.5575581393741402,0.009874354728291396,0.8010411582885961,0.02913874805207002,0.2184436887377475,0.028395113677198033,1.478087867660956,0.2136812691760029
dino,none,finetune,0.7207735376043268,0.028899385761554708,0.6589808002870985,0.021257440718030825,0.7040403381966199,0.022610705333634528,0.6747866067679089,0.015680877427626413,0.7365381486904181,0.03728919955874074,0.5636127225445089,0.025999276103473863,1.5953728550988615,0.29573609268640255
dino,phase,finetune,0.5206467615306044,0.025654045364073053,0.5419881571864346,0.01166872436045865,0.6502982023896278,0.014345617212377926,0.561627377621644,0.007617618503408269,0.7730274930860582,0.0361223954671188,0.2578915783156631,0.039658505467433894,1.4927182352001018,0.23218813374299424
mobilenet,complex,finetune,0.5982187945641837,0.04498386109371544,0.5733716131347568,0.04036402590664917,0.5948268103720107,0.065110823056031,0.6202835332962388,0.031610286493815004,0.5754026354319179,0.09624309223996053,0.570874174834967,0.04644384486677622,2.155401845140891,0.3214970759613268
mobilenet,concat,finetune,0.6675865578191285,0.01773431570384536,0.6313475686344876,0.01313323695757423,0.6359005193718137,0.013334744385199824,0.699201258508448,0.02364262893168689,0.5841223360989101,0.026452698141922637,0.6894178835767153,0.043270785403703375,4.141631364009597,0.41782355743457594
mobilenet,concat_frequency,finetune,0.563513968451735,0.024754090497335752,0.5351157365871165,0.02092770098614573,0.5277309868266881,0.02570325570610916,0.5997151958480665,0.022921466045192084,0.4713844151618676,0.028369203272468307,0.6134826965393079,0.021506115099993246,2.329283588040959,0.5036930781018497
mobilenet,frequency_3,finetune,0.4258337986126589,0.030471925492739825,0.44340570608289964,0.020148337817187594,0.48564239609888704,0.01607764717170306,0.4954365883941391,0.018476311220161256,0.47642752562225466,0.017108827216633603,0.4028005601120224,0.03640607240320008,3.251789075407115,0.9314930896099056
mobilenet,magnitude,finetune,0.4508105460363262,0.018472705158542553,0.46633769962318317,0.0164918705036784,0.5260626809171042,0.025852546909310315,0.5150991659191251,0.01374040521562219,0.5382137628111273,0.04101022692844573,0.37795559111822363,0.02743488726254808,3.3885249468413265,0.8473761004033374
mobilenet,none,finetune,0.7037140007579629,0.014004070422010373,0.6691040133979306,0.010430408174954442,0.6872703727459207,0.012902087304774323,0.7175101884268994,0.006653613613742483,0.659644270918063,0.019958885931369883,0.6807361472294459,0.008696565360785872,2.614451206994779,0.7748010148017084
mobilenet,phase,finetune,0.509633154872393,0.018835213348951926,0.4676834738919792,0.013693784981457714,0.3456171503243751,0.03540070846873804,0.5356194075869836,0.024745315308718163,0.25596225801203837,0.035182108587024766,0.7280256051210242,0.02831135074437607,1.5264757975935936,0.2808095115124802
resnet,complex,finetune,0.4762850341338806,0.04840831261291634,0.5097434057060829,0.03627446828970627,0.6009621223141259,0.05387910048475839,0.5450306666880085,0.029583875433185143,0.6793883195054498,0.12330394317169435,0.3011402280456091,0.14108385118446368,2.7154813996770164,0.9485815898173926
resnet,concat,finetune,0.7798733132017651,0.015998589918335242,0.7075542795621748,0.011396800368406686,0.7326438944419176,0.015594280644801459,0.7395629810719948,0.022920190631885776,0.7280950056938343,0.04467164685777767,0.6822964592918583,0.055164527808423465,2.4858439755372026,0.8350344225674418
resnet,concat_frequency,finetune,0.7070587698148056,0.03161177883346664,0.6382738202045577,0.026844994120840886,0.7140715515373555,0.019595913010627367,0.6333373234594136,0.0212677839546856,0.8187408491947291,0.023231618972729434,0.4163632726545309,0.046363042681746104,3.34324144477194,1.115748332354958
resnet,frequency_3,finetune,0.4421277780853063,0.010373075511571095,0.47437645792212446,0.0069979111733519915,0.5704711237438137,0.010109145024507351,0.5192336462368585,0.0051484571697576285,0.6332194566455182,0.021605541194928874,0.27905581116223244,0.024267994368361866,5.315416294336319,2.2885940810269436
resnet,magnitude,finetune,0.450965751959567,0.04931539260323629,0.48508882110174056,0.025854079323213715,0.5826781234790189,0.01683952631661998,0.5271834809389642,0.019121111508170474,0.6516024076785424,0.019752043998038534,0.2803360672134427,0.051050703868793276,5.309399513764815,2.1014724674695646
resnet,magnitude,scratch,0.36063408875040015,0.03160514887489106,0.4450385788623722,0.02399377937541435,0.5747289484784158,0.02514954134429288,0.497477075201944,0.01666394494190642,0.6809825931348625,0.04327008334851527,0.15491098219643923,0.03638133295539059,4.698983337391506,2.6914601390834805
resnet,none,finetune,0.6908514938712487,0.03187650805152653,0.641306298223578,0.021201172908349667,0.6591532507840695,0.023002659069780537,0.6929443996154768,0.025717379240235785,0.6296567431267285,0.03566548200632265,0.6556311262252451,0.04701182783489783,3.15707221785278,0.5584476127273302
resnet,none,scratch,0.6483501092605051,0.017468216984936332,0.6054728153597704,0.012763131568048685,0.6275733225213214,0.015277554273008835,0.6545400558624939,0.012721540653242543,0.6031234748657882,0.023811128107771015,0.6083616723344669,0.024832128970071983,4.60241544734348,0.5895225955339469
resnet,phase,finetune,0.5051815568905224,0.012045935693346188,0.5132603624618698,0.007208628282289303,0.5645991022947573,0.01023622816243714,0.5570906588889375,0.005711729292287673,0.5724093053522044,0.01577359706436436,0.4405281056211242,0.00925971346682519,1.880660173974254,0.7409770047543575
resnet,phase,scratch,0.5533000328713864,0.02874627904625011,0.5529562174771219,0.014846388249710954,0.6156476087770651,0.012448752425645453,0.5858884627544427,0.015865916258838257,0.6496258337400358,0.03083405493970847,0.43408681736347265,0.0538795052344923,1.9401411321014168,0.6331539121810437
vit,complex,finetune,0.5092549533170014,0.011049762443102087,0.5515162390095101,4.012323663200282e-05,0.7109317176268768,1.8386227871236217e-05,0.5515081921367176,2.2129882061603622e-05,1.0,0.0,4.000800160032e-05,8.946061122223588e-05,0.9779497593641281,0.027005626926736744
vit,concat,finetune,0.6323922861683122,0.023727593873451917,0.6280100484478737,0.013166505974131137,0.697693941668903,0.011633256567947432,0.6322229647951472,0.01027950847568226,0.7785586464942249,0.02068653575119395,0.4428885777155431,0.025782666110370903,1.3470522426746108,0.04816196431154961
vit,concat_frequency,finetune,0.5415959977419268,0.02190034600160977,0.5738740355284407,0.010314208477487138,0.6791619099205096,0.007050780372158673,0.5808767847422448,0.008666951589015237,0.8179599804782821,0.021274542910974463,0.2737347469493898,0.03768978842126458,1.3073095263405279,0.060269655717116434
vit,frequency_3,finetune,0.4722608813286978,0.030225870299102724,0.5286560200968957,0.010701063536494075,0.6713086457011886,0.008094139641373095,0.5454561650801021,0.006458614154408652,0.8729461525947617,0.02092585910553501,0.10530106021204233,0.030681077128164185,1.4688814199783586,0.13673057479939646
vit,magnitude,finetune,0.4446711141479963,0.019716199156442456,0.5396734254441056,0.011044900232791765,0.6761143384096963,0.010118943090969796,0.5523673873059742,0.005999669692124356,0.8714820237514236,0.02167842361648522,0.13166633326665328,0.018026035675859427,1.5119513392448425,0.10481804561170155
vit,none,finetune,0.7039773959889315,0.015652654627712325,0.6753693402715473,0.010780639072562501,0.7140580918435425,0.013471487149388076,0.694608939770315,0.015250205354869796,0.7358874247600456,0.03454675359159004,0.600953524038141,0.04241893847361701,1.1410083957016468,0.09222594925701665
vit,phase,finetune,0.5264352919388173,0.018106139865106743,0.5503319576529697,0.0022366680176418,0.7096328901180271,0.00224163909598633,0.5510577856287876,0.0009135848783028556,0.9963559459899137,0.0058797417349677325,0.00188037607521504,0.002411291251098882,1.1275509883056987,0.089998588847896
xception,complex,finetune,0.4894751034150217,0.013976856686942403,0.5512829714695855,0.0004814788395836553,0.7107041675195396,0.0004904312804224321,0.5514126265715905,0.00019156121787067647,0.9994143484626647,0.0013095566486089358,0.00024004800960191998,0.0005367636673334153,5.354083268073472,4.866293184746977
xception,concat,finetune,0.7344213824056498,0.010763246668839906,0.6810873856091872,0.004208447469941119,0.7402079910598515,0.003160998712040469,0.6720436845781232,0.00442752353560116,0.823816495851635,0.007030190478715419,0.5055811162232446,0.012009566441185763,1.6201787180521272,0.2266827549294989
xception,concat_frequency,finetune,0.5973483780862241,0.015846147262763424,0.5881751300915127,0.008050035267120035,0.6857759594455759,0.0045325464129853015,0.5920637650728604,0.006333329020789962,0.8148039694159752,0.006158930981615289,0.30950190038007597,0.019434996077186288,0.9692572415552355,0.14731458027038036
xception,frequency_3,finetune,0.4557850890171527,0.031679926012349036,0.49836712722052756,0.019103190822164516,0.6116035542071941,0.011861679466587394,0.5339447767538739,0.013460176214135732,0.7161216853749797,0.019676330414583318,0.2306061212242448,0.045449028185877094,1.933044549551877,0.46897973710130403
xception,magnitude,finetune,0.4180259901012251,0.026656537095650468,0.4872061726179795,0.014586548697627275,0.6113712901384312,0.010560011751953553,0.5252414547302191,0.009686248723175181,0.7313811615422157,0.014670361388767114,0.1869573914782956,0.024423566086297185,2.1145636160265315,0.4115610680454388
xception,none,finetune,0.7297744674470387,0.024433920919984378,0.6928195466236019,0.010816828217969691,0.750363355787257,0.0035438890126292173,0.6804525110511609,0.01441849178113353,0.8368580879561845,0.014805727219669317,0.5157031406281256,0.0417860546103719,1.146336197965976,0.14169458521331452
xception,phase,finetune,0.48074078456491687,0.025461844129325745,0.5353310604701238,0.013488719657010737,0.6818843080028334,0.014612664259205247,0.5476723619981676,0.007101839342669575,0.904050756466569,0.04126319024278253,0.08193638727745546,0.041254002096765024,1.0241446121849798,0.1650797847328278
