model_family,architecture,technique,split,auc,acc,f1,precision,threshold,threshold_source,n_samples,run_dir,outputs_path,metrics_path,predictions_path
vit,vit_scratch,none,test_d,0.579135489491232,0.5798226956201531,0.7106117844786469,0.5872629557100223,0.2,metrics_summary,181947,models/vit/none,models/vit/none/results/outputs_test_d.npz,models/vit/none/results/metrics_test_d.csv,models/vit/none/results/predictions_test_d.csv
vit,vit_scratch,magnitude,test_d,0.5296180803622312,0.5579152170687068,0.6814390609034527,0.580690232394889,0.7000000000000001,metrics_summary,181947,models/vit/magnitude,models/vit/magnitude/results/outputs_test_d.npz,models/vit/magnitude/results/metrics_test_d.csv,models/vit/magnitude/results/predictions_test_d.csv
vit,vit_scratch,phase,test_d,0.5365085063081059,0.5681379742452473,0.7182969325857198,0.5737998820072514,0.26,metrics_summary,181947,models/vit/phase,models/vit/phase/results/outputs_test_d.npz,models/vit/phase/results/metrics_test_d.csv,models/vit/phase/results/predictions_test_d.csv
vit,vit_scratch,complex,test_d,0.5907737062934113,0.5735681269820332,0.7289577933193133,0.5735433971184027,0.35,metrics_summary,181947,models/vit/complex,models/vit/complex/results/outputs_test_d.npz,models/vit/complex/results/metrics_test_d.csv,models/vit/complex/results/predictions_test_d.csv
vit,vit_scratch,concat,test_d,0.5747851851954857,0.5880448702094566,0.7243649147581013,0.5876887825427987,0.58,metrics_summary,181947,models/vit/concat,models/vit/concat/results/outputs_test_d.npz,models/vit/concat/results/metrics_test_d.csv,models/vit/concat/results/predictions_test_d.csv
vit,vit_scratch,frequency_3,test_d,0.46181451442910976,0.5729800436390817,0.7284046855828489,0.5733254825999868,0.38,metrics_summary,181947,models/vit/frequency_3,models/vit/frequency_3/results/outputs_test_d.npz,models/vit/frequency_3/results/metrics_test_d.csv,models/vit/frequency_3/results/predictions_test_d.csv
vit,vit_scratch,concat_frequency,test_d,0.5378704567859462,0.5700396269243241,0.7162248436570466,0.5762121274025133,0.2417578250169754,metrics_summary,181947,models/vit/vit_scratch/concat_frequency,models/vit/vit_scratch/concat_frequency/results/outputs_test_d.npz,models/vit/vit_scratch/concat_frequency/results/metrics_test_d.csv,models/vit/vit_scratch/concat_frequency/results/predictions_test_d.csv
